inst#,    actual, predicted, error, probability distribution
  7136          ?        2:1      +   0.193 *0.807
  7137          ?        1:0      +  *1      0    
  7138          ?        1:0      +  *0.999  0.001
  7139          ?        1:0      +  *1      0    
  7140          ?        1:0      +  *0.999  0.001
  7141          ?        1:0      +  *0.999  0.001
  7142          ?        1:0      +  *0.999  0.001
  7143          ?        1:0      +  *1      0    
  7144          ?        2:1      +   0.193 *0.807
  7145          ?        2:1      +   0.193 *0.807
  7146          ?        1:0      +  *0.955  0.045
  7147          ?        1:0      +  *0.999  0.001
  7148          ?        1:0      +  *0.999  0.001
  7149          ?        1:0      +  *0.999  0.001
  7150          ?        2:1      +   0.193 *0.807
  7151          ?        2:1      +   0.118 *0.882
  7152          ?        2:1      +   0.118 *0.882
  7153          ?        1:0      +  *0.999  0.001
  7154          ?        2:1      +   0.193 *0.807
  7155          ?        1:0      +  *0.999  0.001
  7156          ?        1:0      +  *0.999  0.001
  7157          ?        2:1      +   0.193 *0.807
  7158          ?        2:1      +   0.193 *0.807
  7159          ?        2:1      +   0.193 *0.807
  7160          ?        2:1      +   0.118 *0.882
  7161          ?        1:0      +  *0.999  0.001
  7162          ?        2:1      +   0.193 *0.807
  7163          ?        2:1      +   0.193 *0.807
  7164          ?        1:0      +  *0.999  0.001
  7165          ?        2:1      +   0.193 *0.807
  7166          ?        1:0      +  *0.999  0.001
  7167          ?        1:0      +  *0.999  0.001
  7168          ?        2:1      +   0.118 *0.882
  7169          ?        1:0      +  *0.955  0.045
  7170          ?        2:1      +   0.193 *0.807
  7171          ?        2:1      +   0.193 *0.807
  7172          ?        1:0      +  *0.999  0.001
  7173          ?        2:1      +   0.118 *0.882
  7174          ?        1:0      +  *0.999  0.001
  7175          ?        2:1      +   0.118 *0.882
  7176          ?        2:1      +   0.193 *0.807
  7177          ?        2:1      +   0.193 *0.807
  7178          ?        2:1      +   0.193 *0.807
  7179          ?        2:1      +   0.118 *0.882
  7180          ?        1:0      +  *0.999  0.001
  7181          ?        1:0      +  *0.999  0.001
  7182          ?        2:1      +   0.193 *0.807
  7183          ?        2:1      +   0.118 *0.882
  7184          ?        2:1      +   0.193 *0.807
  7185          ?        1:0      +  *0.999  0.001
  7186          ?        1:0      +  *0.999  0.001
  7187          ?        1:0      +  *1      0    
  7188          ?        1:0      +  *1      0    
  7189          ?        2:1      +   0.193 *0.807
  7190          ?        2:1      +   0.193 *0.807
  7191          ?        2:1      +   0.193 *0.807
  7192          ?        1:0      +  *0.999  0.001
  7193          ?        1:0      +  *0.999  0.001
  7194          ?        1:0      +  *0.999  0.001
  7195          ?        2:1      +   0.193 *0.807
  7196          ?        2:1      +   0.193 *0.807
  7197          ?        2:1      +   0.193 *0.807
  7198          ?        2:1      +   0.118 *0.882
  7199          ?        2:1      +   0.118 *0.882
  7200          ?        1:0      +  *0.999  0.001
  7201          ?        1:0      +  *0.999  0.001
  7202          ?        2:1      +   0.193 *0.807
  7203          ?        1:0      +  *0.923  0.077
  7204          ?        2:1      +   0.193 *0.807
  7205          ?        1:0      +  *0.999  0.001
  7206          ?        1:0      +  *0.999  0.001
  7207          ?        1:0      +  *1      0    
  7208          ?        2:1      +   0.193 *0.807
  7209          ?        2:1      +   0.193 *0.807
  7210          ?        1:0      +  *1      0    
  7211          ?        1:0      +  *1      0    
  7212          ?        2:1      +   0.193 *0.807
  7213          ?        2:1      +   0.193 *0.807
  7214          ?        2:1      +   0.193 *0.807
  7215          ?        1:0      +  *0.999  0.001
  7216          ?        2:1      +   0.118 *0.882
  7217          ?        1:0      +  *0.999  0.001
  7218          ?        2:1      +   0.193 *0.807
  7219          ?        2:1      +   0.118 *0.882
  7220          ?        2:1      +   0.193 *0.807
  7221          ?        1:0      +  *0.999  0.001
  7222          ?        2:1      +   0.118 *0.882
  7223          ?        1:0      +  *0.999  0.001
  7224          ?        2:1      +   0.193 *0.807
  7225          ?        2:1      +   0.118 *0.882
  7226          ?        2:1      +   0.193 *0.807
  7227          ?        2:1      +   0.193 *0.807
  7228          ?        2:1      +   0.118 *0.882
  7229          ?        1:0      +  *0.999  0.001
  7230          ?        2:1      +   0.193 *0.807
  7231          ?        2:1      +   0.193 *0.807
  7232          ?        1:0      +  *0.999  0.001
  7233          ?        2:1      +   0.193 *0.807
  7234          ?        1:0      +  *0.999  0.001
  7235          ?        2:1      +   0.193 *0.807
  7236          ?        2:1      +   0.193 *0.807
  7237          ?        1:0      +  *1      0    
  7238          ?        2:1      +   0.193 *0.807
  7239          ?        1:0      +  *0.999  0.001
  7240          ?        2:1      +   0.193 *0.807
  7241          ?        2:1      +   0.118 *0.882
  7242          ?        2:1      +   0.193 *0.807
  7243          ?        2:1      +   0.193 *0.807
  7244          ?        1:0      +  *1      0    
  7245          ?        2:1      +   0.118 *0.882
  7246          ?        2:1      +   0.118 *0.882
  7247          ?        2:1      +   0.193 *0.807
  7248          ?        1:0      +  *0.999  0.001
  7249          ?        2:1      +   0.118 *0.882
  7250          ?        2:1      +   0.193 *0.807
  7251          ?        2:1      +   0.118 *0.882
  7252          ?        2:1      +   0.118 *0.882
  7253          ?        1:0      +  *0.999  0.001
  7254          ?        2:1      +   0.193 *0.807
  7255          ?        2:1      +   0.118 *0.882
  7256          ?        2:1      +   0.118 *0.882
  7257          ?        1:0      +  *0.999  0.001
  7258          ?        1:0      +  *0.999  0.001
  7259          ?        2:1      +   0.193 *0.807
  7260          ?        2:1      +   0.193 *0.807
  7261          ?        1:0      +  *1      0    
  7262          ?        2:1      +   0.193 *0.807
  7263          ?        1:0      +  *0.999  0.001
  7264          ?        1:0      +  *0.999  0.001
  7265          ?        1:0      +  *0.999  0.001
  7266          ?        1:0      +  *0.999  0.001
  7267          ?        1:0      +  *0.999  0.001
  7268          ?        1:0      +  *1      0    
  7269          ?        2:1      +   0.193 *0.807
  7270          ?        1:0      +  *0.923  0.077
  7271          ?        2:1      +   0.193 *0.807
  7272          ?        2:1      +   0.193 *0.807
  7273          ?        1:0      +  *0.999  0.001
  7274          ?        1:0      +  *0.999  0.001
  7275          ?        1:0      +  *1      0    
  7276          ?        2:1      +   0.193 *0.807
  7277          ?        2:1      +   0.118 *0.882
  7278          ?        2:1      +   0.193 *0.807
  7279          ?        2:1      +   0.193 *0.807
  7280          ?        2:1      +   0.193 *0.807
  7281          ?        2:1      +   0.193 *0.807
  7282          ?        2:1      +   0.118 *0.882
  7283          ?        2:1      +   0.193 *0.807
  7284          ?        2:1      +   0.193 *0.807
  7285          ?        2:1      +   0.118 *0.882
  7286          ?        2:1      +   0.118 *0.882
  7287          ?        2:1      +   0.193 *0.807
  7288          ?        2:1      +   0.193 *0.807
  7289          ?        2:1      +   0.118 *0.882
  7290          ?        1:0      +  *0.999  0.001
  7291          ?        1:0      +  *1      0    
  7292          ?        1:0      +  *0.999  0.001
  7293          ?        2:1      +   0.118 *0.882
  7294          ?        1:0      +  *1      0    
  7295          ?        2:1      +   0.118 *0.882
  7296          ?        2:1      +   0.118 *0.882
  7297          ?        2:1      +   0.193 *0.807
  7298          ?        2:1      +   0.193 *0.807
  7299          ?        1:0      +  *0.999  0.001
  7300          ?        2:1      +   0.118 *0.882
  7301          ?        1:0      +  *0.999  0.001
  7302          ?        1:0      +  *1      0    
  7303          ?        2:1      +   0.193 *0.807
  7304          ?        2:1      +   0.193 *0.807
  7305          ?        2:1      +   0.193 *0.807
  7306          ?        2:1      +   0.193 *0.807
  7307          ?        2:1      +   0.193 *0.807
  7308          ?        2:1      +   0.118 *0.882
  7309          ?        1:0      +  *0.999  0.001
  7310          ?        1:0      +  *0.999  0.001
  7311          ?        1:0      +  *0.999  0.001
  7312          ?        2:1      +   0.193 *0.807
  7313          ?        1:0      +  *0.999  0.001
  7314          ?        2:1      +   0.193 *0.807
  7315          ?        1:0      +  *0.999  0.001
  7316          ?        2:1      +   0.193 *0.807
  7317          ?        1:0      +  *0.999  0.001
  7318          ?        2:1      +   0.193 *0.807
  7319          ?        1:0      +  *0.999  0.001
  7320          ?        2:1      +   0.118 *0.882
  7321          ?        1:0      +  *0.923  0.077
  7322          ?        1:0      +  *1      0    
  7323          ?        1:0      +  *1      0    
  7324          ?        2:1      +   0.193 *0.807
  7325          ?        1:0      +  *0.999  0.001
  7326          ?        2:1      +   0.118 *0.882
  7327          ?        2:1      +   0.118 *0.882
  7328          ?        1:0      +  *0.999  0.001
  7329          ?        1:0      +  *0.999  0.001
  7330          ?        2:1      +   0.118 *0.882
  7331          ?        2:1      +   0.193 *0.807
  7332          ?        1:0      +  *0.999  0.001
  7333          ?        1:0      +  *1      0    
  7334          ?        2:1      +   0.193 *0.807
  7335          ?        1:0      +  *0.999  0.001
  7336          ?        2:1      +   0.118 *0.882
  7337          ?        2:1      +   0.193 *0.807
  7338          ?        1:0      +  *0.999  0.001
  7339          ?        2:1      +   0.118 *0.882
  7340          ?        2:1      +   0.118 *0.882
  7341          ?        2:1      +   0.193 *0.807
  7342          ?        2:1      +   0.193 *0.807
  7343          ?        1:0      +  *0.999  0.001
  7344          ?        2:1      +   0.118 *0.882
  7345          ?        2:1      +   0.193 *0.807
  7346          ?        2:1      +   0.193 *0.807
  7347          ?        2:1      +   0.193 *0.807
  7348          ?        2:1      +   0.118 *0.882
  7349          ?        2:1      +   0.118 *0.882
  7350          ?        2:1      +   0.118 *0.882
  7351          ?        2:1      +   0.193 *0.807
  7352          ?        2:1      +   0.193 *0.807
  7353          ?        2:1      +   0.193 *0.807
  7354          ?        2:1      +   0.118 *0.882
  7355          ?        1:0      +  *0.999  0.001
  7356          ?        2:1      +   0.118 *0.882
  7357          ?        1:0      +  *0.999  0.001
  7358          ?        2:1      +   0.193 *0.807
  7359          ?        1:0      +  *0.999  0.001
  7360          ?        2:1      +   0.193 *0.807
  7361          ?        1:0      +  *0.999  0.001
  7362          ?        2:1      +   0.193 *0.807
  7363          ?        2:1      +   0.193 *0.807
  7364          ?        2:1      +   0.118 *0.882
  7365          ?        2:1      +   0.193 *0.807
  7366          ?        2:1      +   0.193 *0.807
  7367          ?        1:0      +  *0.999  0.001
  7368          ?        1:0      +  *0.999  0.001
  7369          ?        2:1      +   0.118 *0.882
  7370          ?        1:0      +  *0.999  0.001
  7371          ?        2:1      +   0.118 *0.882
  7372          ?        2:1      +   0.118 *0.882
  7373          ?        2:1      +   0.193 *0.807
  7374          ?        1:0      +  *0.999  0.001
  7375          ?        2:1      +   0.193 *0.807
  7376          ?        2:1      +   0.193 *0.807
  7377          ?        2:1      +   0.193 *0.807
  7378          ?        1:0      +  *0.999  0.001
  7379          ?        2:1      +   0.118 *0.882
  7380          ?        2:1      +   0.193 *0.807
  7381          ?        1:0      +  *0.955  0.045
  7382          ?        2:1      +   0.118 *0.882
  7383          ?        1:0      +  *0.999  0.001
  7384          ?        1:0      +  *0.999  0.001
  7385          ?        1:0      +  *0.999  0.001
  7386          ?        1:0      +  *1      0    
  7387          ?        2:1      +   0.118 *0.882
  7388          ?        2:1      +   0.118 *0.882
  7389          ?        1:0      +  *1      0    
  7390          ?        1:0      +  *0.923  0.077
  7391          ?        2:1      +   0.118 *0.882
  7392          ?        2:1      +   0.193 *0.807
  7393          ?        1:0      +  *0.999  0.001
  7394          ?        2:1      +   0.193 *0.807
  7395          ?        2:1      +   0.193 *0.807
  7396          ?        2:1      +   0.193 *0.807
  7397          ?        2:1      +   0.118 *0.882
  7398          ?        1:0      +  *0.999  0.001
  7399          ?        2:1      +   0.118 *0.882
  7400          ?        2:1      +   0.118 *0.882
  7401          ?        2:1      +   0.193 *0.807
  7402          ?        2:1      +   0.193 *0.807
  7403          ?        1:0      +  *0.955  0.045
  7404          ?        2:1      +   0.193 *0.807
  7405          ?        2:1      +   0.118 *0.882
  7406          ?        2:1      +   0.118 *0.882
  7407          ?        1:0      +  *0.999  0.001
  7408          ?        1:0      +  *0.955  0.045
  7409          ?        2:1      +   0.193 *0.807
  7410          ?        2:1      +   0.118 *0.882
  7411          ?        1:0      +  *0.999  0.001
  7412          ?        1:0      +  *0.999  0.001
  7413          ?        2:1      +   0.118 *0.882
  7414          ?        2:1      +   0.118 *0.882
  7415          ?        1:0      +  *0.955  0.045
  7416          ?        2:1      +   0.118 *0.882
  7417          ?        1:0      +  *0.999  0.001
  7418          ?        1:0      +  *0.999  0.001
  7419          ?        2:1      +   0.118 *0.882
  7420          ?        1:0      +  *0.999  0.001
  7421          ?        2:1      +   0.193 *0.807
  7422          ?        2:1      +   0.193 *0.807
  7423          ?        2:1      +   0.118 *0.882
  7424          ?        1:0      +  *1      0    
  7425          ?        2:1      +   0.118 *0.882
  7426          ?        2:1      +   0.193 *0.807
  7427          ?        2:1      +   0.193 *0.807
  7428          ?        1:0      +  *1      0    
  7429          ?        1:0      +  *1      0    
  7430          ?        1:0      +  *0.999  0.001
  7431          ?        1:0      +  *0.999  0.001
  7432          ?        2:1      +   0.193 *0.807
  7433          ?        1:0      +  *0.999  0.001
  7434          ?        2:1      +   0.193 *0.807
  7435          ?        1:0      +  *1      0    
  7436          ?        1:0      +  *0.999  0.001
  7437          ?        2:1      +   0.118 *0.882
  7438          ?        1:0      +  *0.999  0.001
  7439          ?        2:1      +   0.193 *0.807
  7440          ?        2:1      +   0.118 *0.882
  7441          ?        1:0      +  *0.999  0.001
  7442          ?        1:0      +  *1      0    
  7443          ?        1:0      +  *0.999  0.001
  7444          ?        2:1      +   0.193 *0.807
  7445          ?        2:1      +   0.193 *0.807
  7446          ?        1:0      +  *0.999  0.001
  7447          ?        2:1      +   0.118 *0.882
  7448          ?        1:0      +  *0.999  0.001
  7449          ?        1:0      +  *0.999  0.001
  7450          ?        1:0      +  *0.999  0.001
  7451          ?        2:1      +   0.193 *0.807
  7452          ?        2:1      +   0.193 *0.807
  7453          ?        1:0      +  *0.999  0.001
  7454          ?        1:0      +  *0.999  0.001
  7455          ?        2:1      +   0.193 *0.807
  7456          ?        2:1      +   0.193 *0.807
  7457          ?        1:0      +  *0.999  0.001
  7458          ?        2:1      +   0.118 *0.882
  7459          ?        2:1      +   0.193 *0.807
  7460          ?        2:1      +   0.193 *0.807
  7461          ?        1:0      +  *1      0    
  7462          ?        1:0      +  *0.999  0.001
  7463          ?        1:0      +  *0.999  0.001
  7464          ?        2:1      +   0.193 *0.807
  7465          ?        2:1      +   0.193 *0.807
  7466          ?        2:1      +   0.118 *0.882
  7467          ?        2:1      +   0.193 *0.807
  7468          ?        2:1      +   0.193 *0.807
  7469          ?        1:0      +  *0.999  0.001
  7470          ?        2:1      +   0.118 *0.882
  7471          ?        2:1      +   0.118 *0.882
  7472          ?        2:1      +   0.193 *0.807
  7473          ?        2:1      +   0.193 *0.807
  7474          ?        2:1      +   0.193 *0.807
  7475          ?        1:0      +  *0.999  0.001
  7476          ?        1:0      +  *1      0    
  7477          ?        2:1      +   0.193 *0.807
  7478          ?        1:0      +  *0.999  0.001
  7479          ?        1:0      +  *0.999  0.001
  7480          ?        1:0      +  *0.999  0.001
  7481          ?        2:1      +   0.193 *0.807
  7482          ?        2:1      +   0.193 *0.807
  7483          ?        1:0      +  *0.999  0.001
  7484          ?        2:1      +   0.118 *0.882
  7485          ?        2:1      +   0.193 *0.807
  7486          ?        2:1      +   0.118 *0.882
  7487          ?        2:1      +   0.193 *0.807
  7488          ?        2:1      +   0.193 *0.807
  7489          ?        2:1      +   0.118 *0.882
  7490          ?        1:0      +  *0.999  0.001
  7491          ?        1:0      +  *0.999  0.001
  7492          ?        2:1      +   0.118 *0.882
  7493          ?        1:0      +  *0.999  0.001
  7494          ?        2:1      +   0.193 *0.807
  7495          ?        1:0      +  *0.999  0.001
  7496          ?        2:1      +   0.193 *0.807
  7497          ?        2:1      +   0.118 *0.882
  7498          ?        2:1      +   0.118 *0.882
  7499          ?        2:1      +   0.193 *0.807
  7500          ?        2:1      +   0.118 *0.882
  7501          ?        1:0      +  *1      0    
  7502          ?        1:0      +  *0.999  0.001
  7503          ?        1:0      +  *1      0    
  7504          ?        1:0      +  *0.999  0.001
  7505          ?        1:0      +  *0.999  0.001
  7506          ?        2:1      +   0.193 *0.807
  7507          ?        1:0      +  *1      0    
  7508          ?        1:0      +  *0.999  0.001
  7509          ?        2:1      +   0.193 *0.807
  7510          ?        1:0      +  *0.999  0.001
  7511          ?        2:1      +   0.193 *0.807
  7512          ?        1:0      +  *0.999  0.001
  7513          ?        2:1      +   0.118 *0.882
  7514          ?        2:1      +   0.118 *0.882
  7515          ?        2:1      +   0.193 *0.807
  7516          ?        2:1      +   0.193 *0.807
  7517          ?        1:0      +  *0.999  0.001
  7518          ?        2:1      +   0.193 *0.807
  7519          ?        1:0      +  *0.999  0.001
  7520          ?        2:1      +   0.193 *0.807
  7521          ?        2:1      +   0.118 *0.882
  7522          ?        2:1      +   0.118 *0.882
  7523          ?        1:0      +  *1      0    
  7524          ?        1:0      +  *1      0    
  7525          ?        2:1      +   0.118 *0.882
  7526          ?        2:1      +   0.193 *0.807
  7527          ?        1:0      +  *1      0    
  7528          ?        2:1      +   0.118 *0.882
  7529          ?        2:1      +   0.193 *0.807
  7530          ?        1:0      +  *0.999  0.001
  7531          ?        1:0      +  *1      0    
  7532          ?        2:1      +   0.193 *0.807
  7533          ?        2:1      +   0.193 *0.807
  7534          ?        2:1      +   0.193 *0.807
  7535          ?        1:0      +  *1      0    
  7536          ?        1:0      +  *0.999  0.001
  7537          ?        1:0      +  *0.999  0.001
  7538          ?        2:1      +   0.193 *0.807
  7539          ?        1:0      +  *0.999  0.001
  7540          ?        1:0      +  *1      0    
  7541          ?        2:1      +   0.118 *0.882
  7542          ?        2:1      +   0.193 *0.807
  7543          ?        1:0      +  *1      0    
  7544          ?        2:1      +   0.193 *0.807
  7545          ?        2:1      +   0.118 *0.882
  7546          ?        2:1      +   0.118 *0.882
  7547          ?        2:1      +   0.193 *0.807
  7548          ?        2:1      +   0.193 *0.807
  7549          ?        1:0      +  *0.999  0.001
  7550          ?        1:0      +  *0.999  0.001
  7551          ?        1:0      +  *1      0    
  7552          ?        1:0      +  *1      0    
  7553          ?        2:1      +   0.193 *0.807
  7554          ?        2:1      +   0.193 *0.807
  7555          ?        2:1      +   0.193 *0.807
  7556          ?        2:1      +   0.118 *0.882
  7557          ?        1:0      +  *0.999  0.001
  7558          ?        2:1      +   0.193 *0.807
  7559          ?        1:0      +  *0.999  0.001
  7560          ?        1:0      +  *0.999  0.001
  7561          ?        2:1      +   0.118 *0.882
  7562          ?        2:1      +   0.118 *0.882
  7563          ?        1:0      +  *1      0    
  7564          ?        2:1      +   0.118 *0.882
  7565          ?        2:1      +   0.193 *0.807
  7566          ?        1:0      +  *0.999  0.001
  7567          ?        2:1      +   0.193 *0.807
  7568          ?        2:1      +   0.118 *0.882
  7569          ?        2:1      +   0.193 *0.807
  7570          ?        1:0      +  *0.999  0.001
  7571          ?        2:1      +   0.193 *0.807
  7572          ?        2:1      +   0.193 *0.807
  7573          ?        2:1      +   0.193 *0.807
  7574          ?        2:1      +   0.118 *0.882
  7575          ?        2:1      +   0.193 *0.807
  7576          ?        1:0      +  *0.999  0.001
  7577          ?        2:1      +   0.118 *0.882
  7578          ?        2:1      +   0.193 *0.807
  7579          ?        2:1      +   0.193 *0.807
  7580          ?        2:1      +   0.118 *0.882
  7581          ?        1:0      +  *0.999  0.001
  7582          ?        1:0      +  *0.999  0.001
  7583          ?        2:1      +   0.193 *0.807
  7584          ?        2:1      +   0.193 *0.807
  7585          ?        1:0      +  *0.999  0.001
  7586          ?        1:0      +  *0.999  0.001
  7587          ?        2:1      +   0.193 *0.807
  7588          ?        2:1      +   0.193 *0.807
  7589          ?        2:1      +   0.193 *0.807
  7590          ?        2:1      +   0.193 *0.807
  7591          ?        2:1      +   0.118 *0.882
  7592          ?        2:1      +   0.118 *0.882
  7593          ?        1:0      +  *0.999  0.001
  7594          ?        2:1      +   0.118 *0.882
  7595          ?        1:0      +  *0.999  0.001
  7596          ?        1:0      +  *0.999  0.001
  7597          ?        2:1      +   0.118 *0.882
  7598          ?        2:1      +   0.193 *0.807
  7599          ?        2:1      +   0.193 *0.807
  7600          ?        1:0      +  *0.999  0.001
  7601          ?        1:0      +  *0.999  0.001
  7602          ?        2:1      +   0.118 *0.882
  7603          ?        1:0      +  *0.999  0.001
  7604          ?        2:1      +   0.193 *0.807
  7605          ?        2:1      +   0.193 *0.807
  7606          ?        2:1      +   0.118 *0.882
  7607          ?        2:1      +   0.118 *0.882
  7608          ?        1:0      +  *0.999  0.001
  7609          ?        2:1      +   0.118 *0.882
  7610          ?        1:0      +  *0.999  0.001
  7611          ?        2:1      +   0.118 *0.882
  7612          ?        2:1      +   0.193 *0.807
  7613          ?        2:1      +   0.118 *0.882
  7614          ?        1:0      +  *0.999  0.001
  7615          ?        2:1      +   0.193 *0.807
  7616          ?        1:0      +  *0.999  0.001
  7617          ?        1:0      +  *0.955  0.045
  7618          ?        2:1      +   0.118 *0.882
  7619          ?        2:1      +   0.118 *0.882
  7620          ?        1:0      +  *1      0    
  7621          ?        2:1      +   0.118 *0.882
  7622          ?        1:0      +  *0.999  0.001
  7623          ?        1:0      +  *0.999  0.001
  7624          ?        2:1      +   0.193 *0.807
  7625          ?        2:1      +   0.193 *0.807
  7626          ?        2:1      +   0.118 *0.882
  7627          ?        1:0      +  *0.999  0.001
  7628          ?        1:0      +  *1      0    
  7629          ?        2:1      +   0.193 *0.807
  7630          ?        2:1      +   0.193 *0.807
  7631          ?        2:1      +   0.118 *0.882
  7632          ?        2:1      +   0.193 *0.807
  7633          ?        2:1      +   0.118 *0.882
  7634          ?        2:1      +   0.118 *0.882
  7635          ?        2:1      +   0.118 *0.882
  7636          ?        1:0      +  *1      0    
  7637          ?        2:1      +   0.118 *0.882
  7638          ?        1:0      +  *0.999  0.001
  7639          ?        1:0      +  *0.999  0.001
  7640          ?        1:0      +  *0.999  0.001
  7641          ?        1:0      +  *0.999  0.001
  7642          ?        2:1      +   0.118 *0.882
  7643          ?        2:1      +   0.193 *0.807
  7644          ?        2:1      +   0.193 *0.807
  7645          ?        2:1      +   0.193 *0.807
  7646          ?        2:1      +   0.118 *0.882
  7647          ?        1:0      +  *0.999  0.001
  7648          ?        1:0      +  *1      0    
  7649          ?        2:1      +   0.193 *0.807
  7650          ?        1:0      +  *0.999  0.001
  7651          ?        2:1      +   0.193 *0.807
  7652          ?        1:0      +  *0.999  0.001
  7653          ?        1:0      +  *0.999  0.001
  7654          ?        1:0      +  *0.955  0.045
  7655          ?        1:0      +  *0.999  0.001
  7656          ?        2:1      +   0.118 *0.882
  7657          ?        2:1      +   0.193 *0.807
  7658          ?        2:1      +   0.193 *0.807
  7659          ?        1:0      +  *0.999  0.001
  7660          ?        2:1      +   0.193 *0.807
  7661          ?        1:0      +  *0.999  0.001
  7662          ?        1:0      +  *1      0    
  7663          ?        1:0      +  *1      0    
  7664          ?        2:1      +   0.118 *0.882
  7665          ?        2:1      +   0.193 *0.807
  7666          ?        1:0      +  *0.999  0.001
  7667          ?        2:1      +   0.118 *0.882
  7668          ?        1:0      +  *0.999  0.001
  7669          ?        2:1      +   0.193 *0.807
  7670          ?        1:0      +  *0.999  0.001
  7671          ?        2:1      +   0.118 *0.882
  7672          ?        2:1      +   0.193 *0.807
  7673          ?        2:1      +   0.118 *0.882
  7674          ?        2:1      +   0.118 *0.882
  7675          ?        1:0      +  *0.999  0.001
  7676          ?        1:0      +  *0.999  0.001
  7677          ?        2:1      +   0.193 *0.807
  7678          ?        1:0      +  *0.999  0.001
  7679          ?        2:1      +   0.193 *0.807
  7680          ?        2:1      +   0.193 *0.807
  7681          ?        1:0      +  *0.999  0.001
  7682          ?        2:1      +   0.118 *0.882
  7683          ?        2:1      +   0.118 *0.882
  7684          ?        2:1      +   0.193 *0.807
  7685          ?        2:1      +   0.193 *0.807
  7686          ?        1:0      +  *0.999  0.001
  7687          ?        2:1      +   0.118 *0.882
  7688          ?        1:0      +  *0.999  0.001
  7689          ?        2:1      +   0.193 *0.807
  7690          ?        1:0      +  *0.999  0.001
  7691          ?        2:1      +   0.118 *0.882
  7692          ?        2:1      +   0.193 *0.807
  7693          ?        2:1      +   0.193 *0.807
  7694          ?        2:1      +   0.193 *0.807
  7695          ?        2:1      +   0.118 *0.882
  7696          ?        2:1      +   0.193 *0.807
  7697          ?        2:1      +   0.118 *0.882
  7698          ?        1:0      +  *0.999  0.001
  7699          ?        2:1      +   0.118 *0.882
  7700          ?        2:1      +   0.193 *0.807
  7701          ?        2:1      +   0.118 *0.882
  7702          ?        2:1      +   0.118 *0.882
  7703          ?        2:1      +   0.193 *0.807
  7704          ?        1:0      +  *0.999  0.001
  7705          ?        1:0      +  *0.999  0.001
  7706          ?        2:1      +   0.118 *0.882
  7707          ?        1:0      +  *0.999  0.001
  7708          ?        2:1      +   0.193 *0.807
  7709          ?        2:1      +   0.193 *0.807
  7710          ?        2:1      +   0.193 *0.807
  7711          ?        2:1      +   0.193 *0.807
  7712          ?        2:1      +   0.118 *0.882
  7713          ?        2:1      +   0.193 *0.807
  7714          ?        1:0      +  *0.999  0.001
  7715          ?        2:1      +   0.118 *0.882
  7716          ?        2:1      +   0.193 *0.807
  7717          ?        2:1      +   0.118 *0.882
  7718          ?        1:0      +  *0.999  0.001
  7719          ?        2:1      +   0.193 *0.807
  7720          ?        1:0      +  *1      0    
  7721          ?        2:1      +   0.193 *0.807
  7722          ?        1:0      +  *1      0    
  7723          ?        2:1      +   0.193 *0.807
  7724          ?        2:1      +   0.193 *0.807
  7725          ?        1:0      +  *1      0    
  7726          ?        1:0      +  *0.999  0.001
  7727          ?        1:0      +  *1      0    
  7728          ?        1:0      +  *0.999  0.001
  7729          ?        2:1      +   0.193 *0.807
  7730          ?        2:1      +   0.193 *0.807
  7731          ?        2:1      +   0.118 *0.882
  7732          ?        1:0      +  *1      0    
  7733          ?        1:0      +  *1      0    
  7734          ?        1:0      +  *1      0    
  7735          ?        2:1      +   0.118 *0.882
  7736          ?        2:1      +   0.118 *0.882
  7737          ?        2:1      +   0.193 *0.807
  7738          ?        2:1      +   0.193 *0.807
  7739          ?        2:1      +   0.118 *0.882
  7740          ?        2:1      +   0.118 *0.882
  7741          ?        1:0      +  *1      0    
  7742          ?        2:1      +   0.193 *0.807
  7743          ?        1:0      +  *0.999  0.001
  7744          ?        2:1      +   0.118 *0.882
  7745          ?        1:0      +  *0.999  0.001
  7746          ?        1:0      +  *0.999  0.001
  7747          ?        1:0      +  *0.999  0.001
  7748          ?        1:0      +  *1      0    
  7749          ?        1:0      +  *0.999  0.001
  7750          ?        1:0      +  *1      0    
  7751          ?        2:1      +   0.193 *0.807
  7752          ?        1:0      +  *0.999  0.001
  7753          ?        2:1      +   0.193 *0.807
  7754          ?        2:1      +   0.118 *0.882
  7755          ?        2:1      +   0.193 *0.807
  7756          ?        2:1      +   0.193 *0.807
  7757          ?        1:0      +  *0.999  0.001
  7758          ?        1:0      +  *1      0    
  7759          ?        1:0      +  *0.999  0.001
  7760          ?        2:1      +   0.193 *0.807
  7761          ?        2:1      +   0.193 *0.807
  7762          ?        2:1      +   0.193 *0.807
  7763          ?        2:1      +   0.193 *0.807
  7764          ?        1:0      +  *0.955  0.045
  7765          ?        1:0      +  *1      0    
  7766          ?        1:0      +  *0.955  0.045
  7767          ?        1:0      +  *0.999  0.001
  7768          ?        2:1      +   0.118 *0.882
  7769          ?        1:0      +  *0.999  0.001
  7770          ?        2:1      +   0.193 *0.807
  7771          ?        2:1      +   0.193 *0.807
  7772          ?        2:1      +   0.193 *0.807
  7773          ?        2:1      +   0.193 *0.807
  7774          ?        2:1      +   0.193 *0.807
  7775          ?        2:1      +   0.118 *0.882
  7776          ?        2:1      +   0.118 *0.882
  7777          ?        2:1      +   0.193 *0.807
  7778          ?        1:0      +  *0.999  0.001
